admin_js.admin.api.all_users,全てのユーザ
js.topic.actions.unarchive,トピックのアーカイブ解除
js.topic.actions.unpin,トピックのピン留め解除
js.topic.actions.visible,非表示を解除
js.topic.auto_close_notice,このトピックは%{timeLeft}で自動的に終了します。
js.topic.auto_close_remove,このトピックを自動終了しない
js.topic.auto_close_save,保存
js.topic.auto_close_title,自動終了設定
js.topic.back_to_list,トピックリストに戻る
js.topic.browse_all_categories,全てのカテゴリをブラウズする
js.topic.clear_pin.help,このトピックのピンを解除し、トピックリストの先頭に表示されないようにする
js.topic.clear_pin.title,ピンを解除する
js.topic.create,トピックを作成する
js.topic.create_long,新しいトピックの作成
js.topic.deleted,トピックは削除されました
js.topic.filter_to,トピック内の{{post_count}}個のポストを表示
js.topic.filters.cancel,Show all posts in this topic again.
js.topic.filters.n_posts.one,1 post
js.topic.filters.n_posts.other,{{count}} posts
js.topic.flag_topic.help,密かに注目したいトピックにフラグを立てることで、それについての通知をプライベートに受け取ることが出来ます
js.topic.flag_topic.success_message,***TO BE TRANSLATED***You successfully flagged this topic.
js.topic.flag_topic.title,フラグ
js.topic.invalid_access.description,申し訳ありませんが、このトピックへのアクセスは許可されていません!
js.topic.invalid_access.login_required,***TO BE TRANSLATED***You need to log in to see that topic.
js.topic.invalid_access.title,トピックはプライベートです
js.topic.invite_private.action,招待
js.topic.invite_private.email_or_username,招待するユーザのメールアドレスまたはユーザ名
js.topic.invite_private.email_or_username_placeholder,メールアドレスまたはユーザ名
js.topic.invite_private.error,申し訳ありませんが、ユーザ招待中にエラーが発生しました。
js.topic.invite_private.success,このプライベートメッセージにユーザを招待しました。
js.topic.invite_private.title,プライベートメッセージへの招待
js.topic.invite_reply.action,メールで招待
js.topic.invite_reply.email_placeholder,メールアドレス
js.topic.invite_reply.error,申し訳ありませんが招待に失敗しました。既にユーザ登録済かもしれません。
js.topic.invite_reply.help,このトピックにワンクリックで回答ができるように友人を招待メールを送る
js.topic.invite_reply.success,ありがとうございます! <b>{{email}}</b> 宛に招待メールを送信しました。友人により招待が受理されたらお知らせします。招待した友人の一覧は、ユーザページの招待タブにて確認できます。
js.topic.invite_reply.title,友人を招待して回答してもらう
js.topic.invite_reply.to_forum,このフォーラムにワンクリックで参加できるようにあなたの友人にメールを送ります。
js.topic.invite_reply.to_topic,このトピックに（ログインすることなく）ワンクリックで回答ができるようにあなたの友人にメールを送ります。
js.topic.inviting,招待中...
js.topic.jump_reply_down,以後の回答へジャンプ
js.topic.jump_reply_up,以前の回答へジャンプ
js.topic.likes.one,このトピックには1個「いいね！」がついています
js.topic.likes.other,このトピックには{{count}}個「いいね！」がついています
js.topic.list,トピック
js.topic.loading,トピックを読み込み中...
js.topic.loading_more,さらにトピックを読み込み中...
js.topic.login_reply,ログインして回答
js.topic.merge_topic.action,既存トピックに移動
js.topic.merge_topic.error,指定トピックへのポスト移動中にエラーが発生しました。
js.topic.merge_topic.instructions.one,このポストをどのトピックに移動するか選択してください。
js.topic.merge_topic.instructions.other,これら<b>{{count}}</b>個のポストをどのトピックに移動するか選択してください。
js.topic.merge_topic.title,既存トピックに移動
js.topic.multi_select.cancel,deselect all
js.topic.multi_select.delete,選択中のものを削除
js.topic.multi_select.description.one,現在<b>1</b>個のポストを選択中。
js.topic.multi_select.description.other,現在<b>{{count}}</b>個のポストを選択中。
js.topic.multi_select.deselect_all,***TO BE TRANSLATED***deselect all
js.topic.multi_select.select,選択
js.topic.multi_select.select_all,***TO BE TRANSLATED***select all
js.topic.multi_select.select_replies,全ての回答と共に選択
js.topic.multi_select.selected,選択中 ({{count}})
js.topic.new,新規トピック
js.topic.new_posts.one,前回閲覧時より、このトピックに新しいポストが1つ投稿されています
js.topic.new_posts.other,前回閲覧時より、このトピックに新しいポストが{{count}}個投稿されています
js.topic.new_topics.one,1個の新規トピック
js.topic.new_topics.other,{{count}}個の新規トピック
js.topic.not_found.description,申し訳有りませんがトピックが見つかりませんでした。モデレータによって削除された可能性があります。
js.topic.not_found.title,トピックが見つかりませんでした
js.topic.notifications.muted.description,このトピックについて何の通知も受けません。また未読タブにも表示されません。
js.topic.notifications.muted.title,ミュート
js.topic.notifications.muted_pm.description,***TO BE TRANSLATED***You will never be notified of anything about this private message.
js.topic.notifications.muted_pm.title,***TO BE TRANSLATED***Muted
js.topic.notifications.reasons.0,このトピックに関して一切通知を受けません。
js.topic.notifications.reasons.0_2,このトピックに関して一切通知を受けません。
js.topic.notifications.reasons.1,誰かから @ユーザ名 でメンションを受けた際と、あなたのポストに回答がついた際に通知されます。
js.topic.notifications.reasons.1_2,誰かから @ユーザ名 でメンションを受けた際と、あなたのポストに回答がついた際に通知されます。
js.topic.notifications.reasons.2,"<a href=""/users/{{username}}/preferences"">このトピックを閲覧した</a>ため通知されます。"
js.topic.notifications.reasons.2_2,このトピックをトラック中のため通知されます。
js.topic.notifications.reasons.2_4,このトピックに回答したため通知されます。
js.topic.notifications.reasons.3,このトピックを監視中のため通知されます。
js.topic.notifications.reasons.3_1,このトピックを作成したため通知されます。
js.topic.notifications.reasons.3_2,このトピックを監視中のため通知されます。
js.topic.notifications.reasons.3_5,***TO BE TRANSLATED***You will receive notifications because you started watching this topic automatically.
js.topic.notifications.reasons.3_6,***TO BE TRANSLATED***You will receive notifications because you are watching this category.
js.topic.notifications.regular.description,誰かから @ユーザ名 でメンションを受けた際と、あなたのポストに回答がついた際に通知されます。
js.topic.notifications.regular.title,通常
js.topic.notifications.title,
js.topic.notifications.tracking.description,誰かから @ユーザ名 でメンションを受けた際と、あなたのポストに回答がついた際に通知されます。これに加えて、未読および新規ポストの数を確認します。
js.topic.notifications.tracking.title,トラック中
js.topic.notifications.tracking_pm.description,***TO BE TRANSLATED***You will be notified only if someone mentions your @name or replies to your post. The count of unread and new posts will also appear next to the topic's listing.
js.topic.notifications.tracking_pm.title,***TO BE TRANSLATED***Tracking
js.topic.notifications.watching.description,トラック中と同様です。加えて、新規ポストが投稿されるたびに通知されます。
js.topic.notifications.watching.title,監視中
js.topic.notifications.watching_pm.description,***TO BE TRANSLATED***You will be notified of every new post in this private message. The count of unread and new posts will also appear next to the topic's listing.
js.topic.notifications.watching_pm.title,***TO BE TRANSLATED***Watching
js.topic.options,トピックオプション
js.topic.private_message,プライベートメッセージを作成
js.topic.progress.current,現在のポスト
js.topic.progress.jump_bottom,最後のポストにジャンプ
js.topic.progress.jump_bottom_with_number,ポスト%{post_number}にジャンプ
js.topic.progress.jump_top,最初のポストにジャンプ
js.topic.progress.position,ポスト%{current}/%{total}
js.topic.progress.title,トピック進捗
js.topic.progress.total,ポスト総数
js.topic.read_more,{{catLink}} or {{latestLink}}。
js.topic.read_more_MF,"{ UNREAD, plural, =0 {} one { <a href='/unread'>未読ポスト1つ</a> } other { <a href='/unread'>未読ポスト#つ</a> } } { NEW, plural, =0 {} one { {BOTH, select, true{and } false {} other{}} <a href='/new'>新規トピック1つ</a>c} other { {BOTH, select, true{and } false {} other{}} <a href='/new'>新規トピック#つ</a>} }を読む or {CATEGORY, select, true {{catLink} の他のトピックを読む} false {{latestLink}} other {}} "
js.topic.read_more_in_category,{{catLink}} の他のトピックを見る or {{latestLink}}。
js.topic.read_position_reset,しおりがリセットされました。
js.topic.reply.help,このトピックに回答する
js.topic.reply.title,回答
js.topic.server_error.description,申し訳ありませんが、トピックの読み込みに失敗しました。もう一度試してください。もし問題が継続する場合はお知らせください。
js.topic.server_error.title,トピックの読み込みに失敗しました
js.topic.share.help,このトピックへのリンクをシェアする
js.topic.share.title,シェア
js.topic.show_links,このトピック内のリンクを表示
js.topic.split_topic.action,新規トピックに移動
js.topic.split_topic.error,新規トピックへのポスト移動中にエラーが発生しました。
js.topic.split_topic.instructions.one,新たにトピックを作成し、選択したポストをこのトピックに移動しようとしています。
js.topic.split_topic.instructions.other,新たにトピックを作成し、選択した<b>{{count}}</b>個のポストをこのトピックに移動しようとしています。
js.topic.split_topic.title,新規トピックに移動
js.topic.split_topic.topic_name,新規トピック名:
js.topic.suggest_create_topic,新しいトピックを作成しますか？
js.topic.title,トピック
js.topic.toggle_information,トピック詳細をトグル
js.topic.unread_posts.one,このトピックに未読のポストが1つあります
js.topic.unread_posts.other,このトピックに未読のポストが{{count}}つあります
js.topic.unread_topics.one,1個の未読トピック
js.topic.unread_topics.other,{{count}}個の未読トピック
js.topic.view_latest_topics,最新のトピックを見る
js.topic_map.clicks.one,***TO BE TRANSLATED***1 click
js.topic_map.clicks.other,***TO BE TRANSLATED***%{count} clicks
js.topic_map.links_shown,全{{totalLinks}}リンクを表示...
js.topic_map.title,トピックのサマリー
js.topic_statuses.archived.help,このトピックはアーカイブされています。凍結状態のため一切の変更ができません
js.topic_statuses.invisible.help,このトピックは非表示状態です。トピックリストには表示されません。直接リンクでのみアクセス可能です
js.topic_statuses.locked.help,"このトピックは終了しています。新たに回答を投稿することはできません"""
js.topic_statuses.pinned.help,このトピックはピン留めされています。常にカテゴリのトップに表示されます
js.topics.bottom.category,{{category}} トピックは以上です。
js.topics.bottom.hot,ホットなトピックは以上です。
js.topics.bottom.latest,最新のトピックは以上です。
js.topics.bottom.new,新規トピックは以上です。
js.topics.bottom.posted,ポストのあるトピックは以上です。
js.topics.bottom.read,未読トピックは以上です。
js.topics.bottom.starred,***TO BE TRANSLATED***There are no more starred topics.
js.topics.bottom.top,***TO BE TRANSLATED***There are no more top topics.
js.topics.bottom.unread,未読のトピックは以上です。
js.topics.bulk.actions,***TO BE TRANSLATED***Bulk Actions
js.topics.bulk.change_category,***TO BE TRANSLATED***Change Category
js.topics.bulk.close_topics,***TO BE TRANSLATED***Close Topics
js.topics.bulk.dismiss_new,***TO BE TRANSLATED***Dismiss New
js.topics.bulk.dismiss_read,***TO BE TRANSLATED***Dismiss Unread
js.topics.bulk.notification_level,***TO BE TRANSLATED***Change Notification Level
js.topics.bulk.reset_read,***TO BE TRANSLATED***Reset Read
js.topics.bulk.selected.one,***TO BE TRANSLATED***You have selected <b>1</b> topic.
js.topics.bulk.selected.other,***TO BE TRANSLATED***You have selected <b>{{count}}</b> topics.
js.topics.bulk.toggle,***TO BE TRANSLATED***toggle bulk selection of topics
js.topics.none.category,{{category}} トピックはありません。
js.topics.none.hot,ホットなトピックはありません。
js.topics.none.latest,最新のトピックはありません。
js.topics.none.new,新着トピックはありません。
js.topics.none.posted,まだトピックを一つも投稿していません。
js.topics.none.read,またトピックを一つも読んでいません。
js.topics.none.starred,まだどのトピックにもスターを付けていません。トピックにスターを付けるには、タイトルの横にある☆をクリック（タップ）します。
js.topics.none.top,***TO BE TRANSLATED***There are no top topics.
js.topics.none.unread,未読トピックはありません。
js.trust_level,トラストレベル
js.unmute,ミュート解除
js.upload,アップロード
js.upload_selector.from_my_computer,このデバイスから
js.upload_selector.from_the_web,Web から
js.upload_selector.hint,(アップロードする画像をエディタにドラッグ&ドロップすることもできます)
js.upload_selector.hint_for_chrome,(アップロードする画像をエディタにドラッグ&ドロップまたは貼り付けることもできます)
js.upload_selector.image_link,***TO BE TRANSLATED***enter the link you want your image to point to
js.upload_selector.local_tip,クリックしてアップロードする画像を選択してください
js.upload_selector.local_tip_with_attachments,クリックしてアップロードする画像/ファイルを選択してください (使用可能な拡張子: {{authorized_extensions}})
js.upload_selector.remote_tip,画像のアドレスを入力してください (例 http://example.com/image.jpg)。
js.upload_selector.remote_tip_with_attachments,画像/ファイルのアドレスを入力してください (例 http://example.com/file.ext) (使用可能な拡張子: {{authorized_extensions}}).
js.upload_selector.title,画像のアップロード
js.upload_selector.title_with_attachments,画像/ファイルをアップロード
js.upload_selector.uploading,アップロード中
js.uploaded,アップロードしました
js.uploading,アップロード中...
js.user.activity_stream,アクティビティ
js.user.admin,{{user}} は管理者です
js.user.auto_track_options.after_n_minutes.one,1分後
js.user.auto_track_options.after_n_minutes.other,{{count}}分後
js.user.auto_track_options.after_n_seconds.one,1秒後
js.user.auto_track_options.after_n_seconds.other,{{count}}秒後
js.user.auto_track_options.always,常にトラックする
js.user.auto_track_options.never,トラックしない
js.user.auto_track_topics,以下のタイミングで、自分が投稿したトピックを自動的にトラックする
js.user.avatar.title,アバター
js.user.bio,自己紹介
js.user.categories_settings,カテゴリ設定
js.user.change,変更
js.user.change_about.title,自己紹介の変更
js.user.change_avatar.gravatar,"<a href='//gravatar.com/emails' target='_blank'>Gravatar</a>, based on"
js.user.change_avatar.gravatar_title,ウェブサイトのアバターを変更
js.user.change_avatar.image_is_not_a_square,警告: 画像が正方形ではなかったためクロップしました。
js.user.change_avatar.title,アバターの変更
js.user.change_avatar.upload_title,画像をアップロード
js.user.change_avatar.uploaded_avatar,カスタム画像
js.user.change_avatar.uploaded_avatar_empty,カスタム画像を追加
js.user.change_email.error,メールアドレス変更中にエラーが発生しました。既にこのアドレスが使われているのかもしれません。
js.user.change_email.success,このアドレスにメールを送信しました。メールの指示に従って確認処理を行ってください。
js.user.change_email.taken,このメールアドレスは既に使われています。
js.user.change_email.title,メールドレスの変更
js.user.change_password.action,パスワードリセット用メールを送信する
js.user.change_password.error,(エラー)
js.user.change_password.in_progress,(メールを送信中)
js.user.change_password.set_password,***TO BE TRANSLATED***Set Password
js.user.change_password.success,(メールを送信しました)
js.user.change_profile_background.title,***TO BE TRANSLATED***Change Profile Background
js.user.change_username.confirm,ユーザ名を変更すると、あなたのポストの引用と @ユーザ名 メンションのリンクが解除されます。本当にユーザ名を変更しますか？
js.user.change_username.error,ユーザ名変更中にエラーが発生しました。
js.user.change_username.invalid,このユーザ名は無効です。英数字のみ利用可能です。
js.user.change_username.taken,このユーザ名は既に使われています。
js.user.change_username.title,ユーザ名の変更
js.user.created,作成
js.user.delete_account,***TO BE TRANSLATED***Delete My Account
js.user.delete_account_confirm,***TO BE TRANSLATED***Are you sure you want to permanently delete your account? This action cannot be undone!
js.user.delete_yourself_not_allowed,***TO BE TRANSLATED***You cannot delete your account right now. Contact an admin to do delete your account for you.
js.user.deleted,(削除済)
js.user.deleted_yourself,***TO BE TRANSLATED***Your account has been deleted successfully.
js.user.download_archive,ポストのアーカイブをダウンロード
js.user.dynamic_favicon,favicon に受信したメッセージ通知を表示する
js.user.edit,プロフィールを編集
js.user.email.authenticated,あたなのメールは {{provider}} により認証されました。
js.user.email.frequency,メールは、あなたがしばらくの間サイトにログインせず未読トピックが溜まった時のみ送信されます。
js.user.email.instructions,メールアドレスが外部に公開されることは一切ありません。
js.user.email.invalid,正しいメールアドレスを入力してください。
js.user.email.ok,メールアドレス OK。確認用のメールを送ります。
js.user.email.title,メールアドレス
js.user.email_always,フォーラムにアクティブに参加している状態でも常にメール通知やダイジェストを受け取る
js.user.email_digests.bi_weekly,隔週
js.user.email_digests.daily,毎日
js.user.email_digests.title,新規トピックのダイジェストをメールで受信する
js.user.email_digests.weekly,毎週
js.user.email_direct,ポストが引用されたり、回答を受けたり、 @ユーザ名 でメンションを受けた際にメール通知を受け取る
js.user.email_private_messages,プライベートメッセージを受けた際にメール通知を受け取る
js.user.email_settings,メール
js.user.enable_quoting,ハイライトしたテキストを引用して回答する
js.user.external_links_in_new_tab,外部リンクを全て新しいタブで開く
js.user.filters.all,すべて
js.user.invited.account_age_days,アカウント有効日数
js.user.invited.create,友人をこのフォーラムに招待
js.user.invited.days_visited,訪問日数
js.user.invited.expired,***TO BE TRANSLATED***This invite has expired.
js.user.invited.none,誰も招待していません。
js.user.invited.pending,保留中の招待
js.user.invited.posts_read_count,読んだポスト
js.user.invited.redeemed,受理された招待
js.user.invited.redeemed_at,受理日
js.user.invited.rescind,招待の取り消し
js.user.invited.rescinded,取り消された招待
js.user.invited.search,招待履歴を検索するためにキーワードを入力してください...
js.user.invited.time_read,リード時間
js.user.invited.title,招待
js.user.invited.topics_entered,参加したトピック
js.user.invited.truncated,最初の {{count}} 個の招待履歴を表示しています。
js.user.invited.user,招待したユーザ
js.user.invited_by,招待者
js.user.ip_address.title,最終 IP アドレス
js.user.last_emailed,最終メール
js.user.last_posted,最終投稿
js.user.last_seen,最終アクティビティ
js.user.locale.default,***TO BE TRANSLATED***(default)
js.user.locale.instructions,***TO BE TRANSLATED***The language used by the forum interface. It will change when you refresh the page.
js.user.locale.title,***TO BE TRANSLATED***Interface language
js.user.log_out,ログアウト
js.user.mailing_list_mode,フォーラムに投稿がされる度にメールで通知を受け取る(ミュートしているトピックやカテゴリ以外)
js.user.messages.all,すべて
js.user.messages.mine,私の
js.user.messages.unread,未読
js.user.moderator,{{user}} はモデレータです
js.user.mute,ミュート
js.user.muted_categories,ミュート中
js.user.muted_categories_instructions,これらのカテゴリについて何も通知されなくなり、未読タブにも表示されなくなります。
js.user.name.instructions,フルネーム。ユニークである必要はありません。@ユーザ名 によるマッチングの代わりに利用可能であり、あなたのページのみに表示されます。
js.user.name.ok,名前 OK。
js.user.name.title,名前
js.user.name.too_short,名前が短すぎます。
js.user.new_topic_duration.after_n_days.one,1日前に投稿されたもの
js.user.new_topic_duration.after_n_days.other,過去{{count}}日に投稿されたもの
js.user.new_topic_duration.after_n_weeks.one,先週投稿されたもの
js.user.new_topic_duration.after_n_weeks.other,過去{{count}}週に投稿されたもの
js.user.new_topic_duration.label,以下の条件でトピックを新規と見なす
js.user.new_topic_duration.last_here,前回ログアウト後に投稿されたもの
js.user.new_topic_duration.not_viewed,未読のもの
js.user.notifications,通知
js.user.other_settings,その他
js.user.password.common,***TO BE TRANSLATED***That password is too common.
js.user.password.instructions,%{count} 文字以上の長さにしてください。
js.user.password.ok,パスワード OK。
js.user.password.title,パスワード
js.user.password.too_short,パスワードが短すぎます。
js.user.password_confirmation.title,もう一度パスワードを入力してください。
js.user.preferences,プロフィール
js.user.private_message,プライベートメッセージ
js.user.private_messages,メッセージ
js.user.profile,プロフィール
js.user.said,{{username}} のコメント:
js.user.show_profile,プロフィールを見る
js.user.stream.posted_by,投稿者
js.user.stream.private_message,プライベートメッセージ
js.user.stream.sent_by,送信者
js.user.stream.the_topic,トピック
js.user.suspended_notice,このユーザは {{date}} までサスペンド状態です。
js.user.suspended_reason,理由: 
js.user.title.title,タイトル
js.user.tracked_categories,トラック中
js.user.tracked_categories_instructions,これらのカテゴリに新しく作成される全てのトピックが自動的にトラックされます。未読や新着の数がトピック一覧の隣に表示されるようになります。
js.user.trust_level,トラストレベル
js.user.unread_message_count.one,メッセージ (1)
js.user.unread_message_count.other,メッセージ ({{count}})
js.user.unread_message_count.zero,メッセージ
js.user.username.available,ユーザ名は利用可能です。
js.user.username.checking,ユーザ名が利用可能か確認しています...
js.user.username.enter_email,ユーザ名が見つかりました。メールアドレスを入力してください。
js.user.username.global_match,メールアドレスが登録済のユーザ名と一致しました。
js.user.username.global_mismatch,既に利用されています。{{suggestion}} などはいかがでしょう？
js.user.username.instructions,空白を含まないユニークな名前を入力してください。他のユーザはあなたを @ユーザ名 でメンションできます。
js.user.username.not_available,利用できません。{{suggestion}} などはいかがでしょう？
js.user.username.prefilled,この登録ユーザにマッチするメールアドレスが見つかりました。
js.user.username.short_instructions,他のユーザはあなたを @ユーザ名 でメンションできます。
js.user.username.title,ユーザ名
js.user.username.too_long,ユーザ名が長すぎます。
js.user.username.too_short,ユーザ名が短すぎます。
js.user.watched_categories,ウォッチ中
js.user.watched_categories_instructions,これらのカテゴリに新しく作成される全てのトピックが自動的にウォッチされます。全ての新しい投稿やトピックについて通知が行われ、未読や新着の数がトピック一覧の隣に表示されるようになります。
js.user.website,ウェブサイト
js.user_action.posted_by_user,<a href='{{userUrl}}'>{{user}}</a> がポストを投稿
js.user_action.posted_by_you,<a href='{{userUrl}}'>あなた</a> がポストを投稿
js.user_action.sent_by_user,<a href='{{userUrl}}'>{{user}}</a> が送信
js.user_action.sent_by_you,<a href='{{userUrl}}'>あなた</a> が送信
js.user_action.user_mentioned_user,<a href='{{user1Url}}'>{{user}}</a> が <a href='{{user2Url}}'>{{another_user}}</a> をメンション
js.user_action.user_mentioned_you,<a href='{{user1Url}}'>{{user}}</a> が <a href='{{user2Url}}'>あなた</a> をメンション
js.user_action.user_posted_topic,<a href='{{userUrl}}'>{{user}}</a> が <a href='{{topicUrl}}'>トピック</a> を作成
js.user_action.user_replied_to_post,<a href='{{userUrl}}'>{{user}}</a> が <a href='{{postUrl}}'>{{post_number}}</a> に回答
js.user_action.user_replied_to_topic,<a href='{{userUrl}}'>{{user}}</a> が <a href='{{topicUrl}}'>トピック</a> に回答
js.user_action.you_mentioned_user,<a href='{{user1Url}}'>あなた</a> が <a href='{{user2Url}}'>{{another_user}}</a> をメンション
js.user_action.you_posted_topic,<a href='{{userUrl}}'>あなた</a> が <a href='{{topicUrl}}'>トピック</a> を作成
js.user_action.you_replied_to_post,<a href='{{userUrl}}'>あなた</a> が <a href='{{postUrl}}'>{{post_number}}</a> に回答
js.user_action.you_replied_to_topic,<a href='{{userUrl}}'>あなた</a> が <a href='{{topicUrl}}'>トピック</a> に回答
js.user_action_groups.1,「いいね！」 した
js.user_action_groups.10,お気に入り
js.user_action_groups.11,編集
js.user_action_groups.12,アイテム送信
js.user_action_groups.13,インボックス
js.user_action_groups.2,「いいね！」 された
js.user_action_groups.3,ブックマーク
js.user_action_groups.4,トピック
js.user_action_groups.5,投稿
js.user_action_groups.6,リプライ
js.user_action_groups.7,メンション
js.user_action_groups.9,引用
js.username,ユーザ名
js.users,ユーザ
js.views,閲覧
js.views_long,このトピックは{{number}}回閲覧されました
js.week,週
js.week_desc,過去7日間に投稿されたトピック
js.weekly,毎週
js.year,年
js.year_desc,過去365日間に投稿されたトピック
js.yes_value,はい
js.you,あなた
